OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
213,53033025200,45797,Tract 025200,4857,3,3,3,9,3,8588,1167,13.58872846,91199,4015,46.75128086,45569.088587669,49367757.7749583
214,53033025301,45107,Tract 025301,4858,3,4,3,10,3.33333333,6525,681,10.43678161,81379,2995,45.90038314,50030.2117441493,39976010.6271008
215,53033025302,44256,Tract 025302,4859,3,5,4,12,4,5360,573,10.69029851,43092,2866,53.47014925,51656.5018504372,42819824.4200843
216,53033024903,42639,Tract 024903,4850,3,1,3,7,2.33333333,7146,1093,15.29527008,159943,3348,46.85138539,48823.0954045772,51852319.2734609
217,53033025001,42932,Tract 025001,4851,2,2,2,6,2,5106,349,6.83509597,123233,1815,35.54641598,43725.25640898,39576090.3070322
218,53033025003,43803,Tract 025003,4852,2,1,3,6,2,6856,547,7.97841307,151797,2811,41.00058343,47815.3444315603,68380572.2163772
219,53033025005,42790,Tract 025005,4853,2,2,3,7,2.33333333,4962,349,7.03345425,112014,2219,44.71987102,54677.7523873959,90358212.2538269
220,53033025006,44835,Tract 025006,4854,2,1,3,6,2,6068,437,7.20171391,149704,2323,38.28279499,77742.0070114435,234969922.597751
221,53033025101,43201,Tract 025101,4855,3,3,4,10,3.33333333,6507,706,10.849854,85296,3199,49.16244045,25996.4425114031,31390436.6401249
222,53033025102,45048,Tract 025102,4856,3,3,4,10,3.33333333,7878,1106,14.03909622,100242,4273,54.23965473,39678.9144161756,67082676.0764293
223,53033025601,44737,Tract 025601,4862,4,4,5,13,4.33333333,5457,1174,21.51365219,71500,3537,64.81583288,28318.0453571904,31147613.3653128
224,53033025602,42681,Tract 025602,4863,3,3,3,9,3,6153,786,12.77425646,106985,2583,41.97952218,39594.1761008077,56003839.2171789
225,53033025701,45172,Tract 025701,4864,3,4,4,11,3.66666667,6004,845,14.0739507,60440,2937,48.91738841,32345.2574890619,40693097.4311101
226,53033025702,45288,Tract 025702,4865,2,3,3,8,2.66666667,3510,175,4.98575499,91941,1381,39.34472934,36384.7886293679,30671055.3798726
227,53033025803,45291,Tract 025803,4866,3,4,5,12,4,4719,677,14.3462598,59464,2946,62.42848061,16727.2833404823,14461368.3457691
228,53033026001,45833,Tract 026001,4870,3,3,5,11,3.66666667,5950,683,11.4789916,86318,3933,66.10084034,34178.9264619396,29560254.9755521
229,53033025804,44624,Tract 025804,4867,3,3,3,9,3,3628,469,12.92723264,83816,1626,44.81808159,35244.0613896417,25586113.8678977
230,53033027500,44968,Tract 027500,4886,4,5,4,13,4.33333333,4926,819,16.62606577,52533,2405,48.8225741,20666.0798210434,23992511.6640667
231,53033025805,43551,Tract 025805,4868,4,4,4,12,4,5084,961,18.90243902,61958,3036,59.71675846,23225.5970031342,26132446.0749785
232,53033025806,28378,Tract 025806,4869,3,4,5,12,4,5086,687,13.50766811,80547,3355,65.9653952,28948.4350591514,33205401.3866741
233,53033027400,43342,Tract 027400,4885,3,4,4,11,3.66666667,4973,693,13.93525035,67103,2733,54.95676654,25002.937248012,35795071.3858852
234,53033026002,28588,Tract 026002,4871,3,5,5,13,4.33333333,8590,1347,15.68102445,55656,6498,75.64610012,37500.2252026033,29474910.1754847
